"Year","Annual Average Mean Surface Air Temperature","Trend 1951-2020","Trend 1971-2020","Trend 1991-2020"
1950,18.3,,,
1951,18.54,18.174792756539254,,
1952,18.65,18.198343277053645,,
1953,18.26,18.221893797568036,,
1954,18.57,18.245444318082427,,
1955,18.25,18.268994838596814,,
1956,18.1,18.292545359111205,,
1957,18.81,18.316095879625596,,
1958,19.14,18.339646400139987,,
1959,18.82,18.363196920654378,,
1960,18.66,18.38674744116877,,
1961,18.35,18.41029796168316,,
1962,17.97,18.433848482197547,,
1963,18.3,18.457399002711938,,
1964,18.15,18.48094952322633,,
1965,18.38,18.50450004374072,,
1966,18.52,18.52805056425511,,
1967,18.5,18.5516010847695,,
1968,18.44,18.575151605283892,,
1969,18.79,18.59870212579828,,
1970,18.66,18.62225264631267,,
1971,18.14,18.64580316682706,18.4158588235294,
1972,18.18,18.669353687341452,18.447252340936366,
1973,18.66,18.692904207855843,18.478645858343327,
1974,18.16,18.716454728370234,18.510039375750292,
1975,18.1,18.74000524888462,18.541432893157253,
1976,18.2,18.763555769399012,18.57282641056422,
1977,18.77,18.787106289913403,18.60421992797118,
1978,18.74,18.810656810427794,18.635613445378144,
1979,18.99,18.834207330942185,18.667006962785106,
1980,19,18.857757851456576,18.69840048019207,
1981,18.93,18.881308371970967,18.72979399759903,
1982,19.05,18.904858892485358,18.761187515005997,
1983,19.33,18.928409412999745,18.79258103241296,
1984,18.67,18.951959933514136,18.823974549819923,
1985,18.64,18.975510454028527,18.855368067226888,
1986,18.96,18.999060974542918,18.88676158463385,
1987,19.59,19.02261149505731,18.918155102040814,
1988,19.16,19.0461620155717,18.949548619447775,
1989,18.89,19.069712536086087,18.98094213685474,
1990,19.25,19.093263056600478,19.0123356542617,
1991,18.98,19.11681357711487,19.043729171668666,18.931526881720398
1992,19.05,19.14036409762926,19.07512268907563,18.968065257693702
1993,19.25,19.16391461814365,19.106516206482592,19.00460363366701
1994,18.99,19.18746513865804,19.137909723889557,19.041142009640314
1995,19.2,19.211015659172432,19.169303241296518,19.07768038561362
1996,18.98,19.23456617968682,19.200696758703483,19.114218761586926
1997,19.3,19.25811670020121,19.232090276110444,19.15075713756023
1998,19.57,19.2816672207156,19.26348379351741,19.187295513533535
1999,18.89,19.305217741229992,19.29487731092437,19.223833889506842
2000,19.23,19.328768261744383,19.326270828331335,19.260372265480147
2001,18.86,19.352318782258774,19.357664345738296,19.296910641453454
2002,19.27,19.375869302773165,19.38905786314526,19.33344901742676
2003,19.51,19.399419823287552,19.420451380552226,19.369987393400063
2004,19.59,19.422970343801943,19.451844897959187,19.40652576937337
2005,19.75,19.446520864316334,19.483238415366152,19.443064145346675
2006,19.4,19.470071384830725,19.514631932773113,19.47960252131998
2007,19.23,19.493621905345115,19.54602545018008,19.516140897293287
2008,19.11,19.517172425859506,19.57741896758704,19.55267927326659
2009,19.51,19.540722946373897,19.608812484994004,19.589217649239895
2010,19.93,19.564273466888285,19.640206002400966,19.625756025213203
2011,19.17,19.587823987402675,19.67159951980793,19.662294401186507
2012,19.33,19.611374507917066,19.702993037214895,19.69883277715981
2013,19.65,19.634925028431457,19.734386554621857,19.73537115313312
2014,19.66,19.658475548945848,19.76578007202882,19.771909529106424
2015,19.96,19.68202606946024,19.797173589435783,19.80844790507973
2016,20.4,19.70557658997463,19.828567106842748,19.844986281053036
2017,20.04,19.729127110489017,19.85996062424971,19.88152465702634
2018,19.68,19.752677631003408,19.891354141656674,19.918063032999648
2019,20.06,19.7762281515178,19.922747659063635,19.95460140897295
2020,20.29,19.79977867203219,19.9541411764706,19.991139784946256