crop,low_altitude_short_dry,low_altitude_long_rainy,low_altitude_long_dry,low_altitude_short_rainy,mid_altitude_short_dry,mid_altitude_long_rainy,mid_altitude_long_dry,mid_altitude_short_rainy,high_altitude_short_dry,high_altitude_long_rainy,high_altitude_long_dry,high_altitude_short_rainy,nitrogen_req,phosphorus_req,potassium_req,min_ph,max_ph,optimal_ph,planting_season,days_to_harvest,pest_vulnerability,disease_vulnerability,common_pests,common_diseases,intercropping_compatibility,drought_resistance,optimal_yield,average_yield,min_sunlight_hours,optimal_sunlight_hours,row_spacing_cm,plant_spacing_cm,planting_depth_cm,good_previous_crops,bad_previous_crops,fallow_recommended,low_altitude_short_dry_adjusted,low_altitude_long_dry_adjusted,low_altitude_short_rainy_adjusted,low_altitude_long_rainy_adjusted,mid_altitude_short_dry_adjusted,mid_altitude_long_dry_adjusted,mid_altitude_short_rainy_adjusted,mid_altitude_long_rainy_adjusted,high_altitude_short_dry_adjusted,high_altitude_long_dry_adjusted,high_altitude_short_rainy_adjusted,high_altitude_long_rainy_adjusted
Maize,650,455,700,480,600,420,650,440,550,385,600,400,120,60,40,5.5,7.5,6.0,2-3,90,7,8,"Fall armyworm,Stalk borers","Gray leaf spot,Common rust","Beans,Peas,Cabbage",5,6.0,3.0,6,8,75,25,5,"Beans,Soybeans,Groundnuts","Maize,Sorghum,Millet",0,715.0000000000001,770.0000000000001,528.0,500.50000000000006,660.0,715.0000000000001,484.00000000000006,462.00000000000006,605.0,660.0,440.00000000000006,423.50000000000006
Rice,1200,840,1300,860,1100,770,1200,810,1000,700,1100,730,100,50,80,5.5,7.0,6.0,"1-2,9-10",120,6,7,"Rice weevil,Stem borers","Rice blast,Bacterial blight",None,3,5.0,3.5,6,8,30,15,2,None,Rice,1,1320.0,1430.0000000000002,946.0000000000001,924.0000000000001,1210.0,1320.0,891.0000000000001,847.0000000000001,1100.0,1210.0,803.0000000000001,770.0000000000001
Sorghum,450,315,480,330,400,280,430,295,350,245,380,260,80,40,30,5.5,7.5,6.0,9-10,100,5,6,"Sorghum midge,Birds","Anthracnose,Downy mildew","Groundnuts,Cowpeas",8,3.0,1.5,6,8,75,15,3,"Beans,Soybeans,Groundnuts","Maize,Sorghum,Millet",0,495.00000000000006,528.0,363.00000000000006,346.5,440.00000000000006,473.00000000000006,324.5,308.0,385.00000000000006,418.00000000000006,286.0,269.5
Wheat,450,315,480,330,425,298,445,310,400,280,430,290,100,50,40,6.0,7.5,6.5,2-3,110,8,7,"Aphids,Hessian fly","Powdery mildew,Rust","Beans,Peas",6,4.0,2.5,6,8,20,5,3,"Beans,Soybeans,Groundnuts",Wheat,0,495.00000000000006,528.0,363.00000000000006,346.5,467.50000000000006,489.50000000000006,341.0,327.8,440.00000000000006,473.00000000000006,319.0,308.0
Millet,400,280,420,290,375,263,395,275,350,245,380,260,60,30,20,5.5,7.5,6.0,9-10,90,5,6,"Birds,Shoot fly","Downy mildew,Smut","Groundnuts,Cowpeas",8,2.5,1.2,6,8,60,15,2,"Beans,Soybeans,Groundnuts","Maize,Sorghum,Millet",0,440.00000000000006,462.00000000000006,319.0,308.0,412.50000000000006,434.50000000000006,302.5,289.3,385.00000000000006,418.00000000000006,286.0,269.5
Cassava,900,630,950,650,850,595,900,620,800,560,850,580,60,20,80,5.0,6.5,5.8,9-11,300,4,5,"Whiteflies,Cassava mealybug","Cassava mosaic,Bacterial blight","Maize,Beans",7,25.0,12.0,5,7,100,100,10,"Maize,Sorghum,Millet","Cassava,Sweet Potatoes,Irish Potatoes",1,990.0000000000001,1045.0,715.0000000000001,693.0,935.0000000000001,990.0000000000001,682.0,654.5,880.0000000000001,935.0000000000001,638.0,616.0
Sweet Potatoes,550,385,580,400,500,350,530,365,450,315,480,330,80,40,100,5.5,6.5,6.0,9-10,150,6,7,"Weevils,Vine borers","Sweet potato virus,Black rot","Maize,Beans",7,18.0,10.0,6,8,75,30,10,"Maize,Sorghum,Millet","Cassava,Sweet Potatoes,Irish Potatoes",0,605.0,638.0,440.00000000000006,423.50000000000006,550.0,583.0,401.50000000000006,385.00000000000006,495.00000000000006,528.0,363.00000000000006,346.5
Irish Potatoes,600,420,630,440,550,385,580,405,500,350,530,360,110,80,120,5.5,6.5,6.0,"1-2,6-7",100,7,8,"Colorado beetle,Aphids","Late blight,Early blight","Maize,Beans,Peas",5,20.0,12.0,6,7,75,30,8,"Maize,Sorghum,Millet","Cassava,Sweet Potatoes,Irish Potatoes",0,660.0,693.0,484.00000000000006,462.00000000000006,605.0,638.0,445.50000000000006,423.50000000000006,550.0,583.0,396.00000000000006,385.00000000000006
Yams,750,525,780,540,700,490,730,510,650,455,680,470,70,30,90,5.5,6.5,6.0,2-3,270,5,6,"Tuber beetles,Scale insects","Anthracnose,Yam mosaic virus","Beans,Sweet Potatoes",6,15.0,8.0,6,8,100,30,10,"Maize,Sorghum,Millet","Cassava,Sweet Potatoes,Irish Potatoes",1,825.0000000000001,858.0000000000001,594.0,577.5,770.0000000000001,803.0000000000001,561.0,539.0,715.0000000000001,748.0000000000001,517.0,500.50000000000006
Taro,800,560,830,580,750,525,780,545,700,490,730,510,60,20,80,5.5,6.5,6.0,2-3,300,5,6,"Aphids,Taro beetles","Phytophthora,Pythium rot","Beans,Cabbage",6,8.0,4.0,5,7,75,60,8,"Maize,Sorghum,Millet","Cassava,Sweet Potatoes,Irish Potatoes",1,880.0000000000001,913.0000000000001,638.0,616.0,825.0000000000001,858.0000000000001,599.5,577.5,770.0000000000001,803.0000000000001,561.0,539.0
Beans,400,280,420,290,375,263,395,275,350,245,380,260,40,60,60,6.0,7.5,6.5,"2-3,9-10",90,7,8,"Bean fly,Aphids","Bean common mosaic,Anthracnose","Maize,Irish Potatoes",5,2.5,1.2,6,8,40,10,4,"Maize,Sorghum,Millet","Beans,Soybeans,Groundnuts",0,440.00000000000006,462.00000000000006,319.0,308.0,412.50000000000006,434.50000000000006,302.5,289.3,385.00000000000006,418.00000000000006,286.0,269.5
Soybeans,450,315,480,330,425,298,445,310,400,280,430,290,60,40,30,6.0,7.0,6.5,2-3,110,5,6,"Leaf beetles,Pod borers","Bacterial blight,Mosaic virus","Maize,Groundnuts",6,2.2,1.0,6,8,45,5,4,"Maize,Sorghum,Millet","Beans,Soybeans,Groundnuts",0,495.00000000000006,528.0,363.00000000000006,346.5,467.50000000000006,489.50000000000006,341.0,327.8,440.00000000000006,473.00000000000006,319.0,308.0
Groundnuts,500,350,530,360,475,333,495,345,450,315,480,330,30,50,30,5.8,7.0,6.5,2-3,130,6,7,"Aphids,Thrips","Leaf spot,Rust","Maize,Sorghum",8,2.0,1.0,6,8,45,15,5,"Maize,Sorghum,Millet","Beans,Soybeans,Groundnuts",0,550.0,583.0,396.00000000000006,385.00000000000006,522.5,544.5,379.50000000000006,366.3,495.00000000000006,528.0,363.00000000000006,346.5
Peas,350,245,370,255,325,228,345,240,300,210,320,220,30,40,20,6.0,7.5,6.5,2-3,70,7,8,"Pea weevil,Aphids","Powdery mildew,Fusarium wilt","Carrots,Radishes",4,2.0,1.0,6,7,30,5,3,"Maize,Sorghum,Millet","Beans,Soybeans,Groundnuts",0,385.00000000000006,407.00000000000006,280.5,269.5,357.50000000000006,379.50000000000006,264.0,250.8,330.0,352.0,242.00000000000003,231.00000000000003
Green Grams,380,266,400,276,355,249,375,260,330,231,350,240,25,30,15,6.0,7.5,6.5,2-3,70,6,7,"Pod borers,Bean flies","Powdery mildew,Root rot","Maize,Sorghum",7,1.5,0.8,6,8,30,5,3,"Maize,Sorghum,Millet","Beans,Soybeans,Groundnuts",0,418.00000000000006,440.00000000000006,303.6,292.6,390.50000000000006,412.50000000000006,286.0,273.90000000000003,363.00000000000006,385.00000000000006,264.0,254.10000000000002
Coffee,1600,1120,1700,1150,1500,1050,1600,1100,1400,980,1500,1000,150,50,180,5.0,6.0,5.5,"3-4,9-10",300,8,9,"Coffee berry borer,Leaf miners","Coffee leaf rust,Coffee berry disease","Banana,Beans",6,1.0,0.6,4,6,250,250,15,"Beans,Soybeans,Groundnuts",Coffee,0,1760.0000000000002,1870.0000000000002,1265.0,1232.0,1650.0000000000002,1760.0000000000002,1210.0,1155.0,1540.0000000000002,1650.0000000000002,1100.0,1078.0
Tea,2000,1400,2100,1450,1900,1330,2000,1380,1800,1260,1900,1300,120,45,90,4.5,5.5,5.0,3-4,1095,6,7,"Tea mosquito,Thrips","Blister blight,Root rot",None,5,2.5,1.5,5,6,120,75,10,"Beans,Soybeans,Groundnuts",Tea,0,2200.0,2310.0,1595.0000000000002,1540.0000000000002,2090.0,2200.0,1518.0000000000002,1463.0000000000002,1980.0000000000002,2090.0,1430.0000000000002,1386.0
Pyrethrum,700,490,730,510,650,455,680,470,600,420,630,440,60,30,40,5.5,7.0,6.0,9-10,150,5,6,"Aphids,Thrips","Leaf spot,Root rot",None,7,0.8,0.5,6,8,60,45,2,"Beans,Soybeans,Groundnuts",Pyrethrum,0,770.0000000000001,803.0000000000001,561.0,539.0,715.0000000000001,748.0000000000001,517.0,500.50000000000006,660.0,693.0,484.00000000000006,462.00000000000006
Sugarcane,1800,1260,1900,1300,1700,1190,1800,1230,1600,1120,1700,1160,180,100,150,6.0,7.5,6.5,2-3,365,7,7,"Stem borers,Aphids","Red rot,Smut",None,4,110.0,70.0,6,8,150,30,5,"Beans,Soybeans,Groundnuts",Sugarcane,1,1980.0000000000002,2090.0,1430.0000000000002,1386.0,1870.0000000000002,1980.0000000000002,1353.0,1309.0,1760.0000000000002,1870.0000000000002,1276.0,1232.0
Cotton,900,630,950,650,850,595,900,620,800,560,850,580,120,60,60,5.8,7.0,6.5,2-3,180,8,7,"Bollworms,Aphids","Bacterial blight,Fusarium wilt",None,6,2.0,1.2,8,10,90,30,3,"Beans,Soybeans,Groundnuts",Cotton,0,990.0000000000001,1045.0,715.0000000000001,693.0,935.0000000000001,990.0000000000001,682.0,654.5,880.0000000000001,935.0000000000001,638.0,616.0
Banana,1800,1260,1900,1300,1700,1190,1800,1230,1600,1120,1700,1160,250,75,300,5.5,7.0,6.0,"2-3,9-10",365,8,9,"Banana weevil,Thrips","Panama disease,Black Sigatoka","Beans,Coffee",4,30.0,15.0,6,8,300,300,30,"Beans,Soybeans,Groundnuts",Banana,0,1980.0000000000002,2090.0,1430.0000000000002,1386.0,1870.0000000000002,1980.0000000000002,1353.0,1309.0,1760.0000000000002,1870.0000000000002,1276.0,1232.0
Avocado,800,560,830,580,750,525,780,545,700,490,730,510,80,40,120,6.0,7.0,6.5,3-4,1095,6,7,"Fruit flies,Mites","Anthracnose,Root rot",None,7,10.0,6.0,6,8,600,600,15,"Beans,Soybeans,Groundnuts",Avocado,0,880.0000000000001,913.0000000000001,638.0,616.0,825.0000000000001,858.0000000000001,599.5,577.5,770.0000000000001,803.0000000000001,561.0,539.0
Mango,1000,700,1050,720,950,665,980,685,900,630,930,650,100,50,150,5.5,7.0,6.0,3-4,1825,7,8,"Fruit flies,Mango hoppers","Anthracnose,Powdery mildew",None,7,20.0,12.0,6,8,800,800,10,"Beans,Soybeans,Groundnuts",Mango,0,1100.0,1155.0,792.0000000000001,770.0000000000001,1045.0,1078.0,753.5000000000001,731.5000000000001,990.0000000000001,1023.0000000000001,715.0000000000001,693.0
Pineapple,1200,840,1250,860,1150,805,1200,835,1100,770,1150,800,140,60,180,5.0,6.5,5.5,3-4,540,7,8,"Fruit flies,Mealybugs","Heart rot,Fusariosis",None,5,60.0,40.0,6,8,120,60,10,"Beans,Soybeans,Groundnuts",Pineapple,1,1320.0,1375.0,946.0000000000001,924.0000000000001,1265.0,1320.0,918.5000000000001,885.5000000000001,1210.0,1265.0,880.0000000000001,847.0000000000001
Passion Fruit,900,630,950,650,850,595,900,620,800,560,850,580,90,45,110,6.0,7.0,6.5,2-3,365,8,8,"Fruit flies,Mites","Fusarium wilt,Brown spot",None,5,15.0,10.0,6,8,300,300,10,"Beans,Soybeans,Groundnuts",Passion Fruit,0,990.0000000000001,1045.0,715.0000000000001,693.0,935.0000000000001,990.0000000000001,682.0,654.5,880.0000000000001,935.0000000000001,638.0,616.0
Tree Tomato,850,595,900,615,800,560,850,580,750,525,800,540,80,40,90,5.5,6.5,6.0,2-3,365,7,8,"Fruit flies,Aphids","Fusarium wilt,Anthracnose",None,5,25.0,15.0,6,8,300,300,10,"Beans,Soybeans,Groundnuts",Tree Tomato,0,935.0000000000001,990.0000000000001,676.5,654.5,880.0000000000001,935.0000000000001,638.0,616.0,825.0000000000001,880.0000000000001,594.0,577.5
Tomatoes,400,280,420,290,375,263,395,275,350,245,380,260,120,90,150,5.5,7.0,6.0,"1-3,9-10",75,9,9,"Whiteflies,Hornworms","Early blight,Late blight","Onions,Carrots,Basil",4,25.0,15.0,6,8,60,45,1,"Beans,Soybeans,Groundnuts","Tomatoes,Cabbage,Carrots",0,440.00000000000006,462.00000000000006,319.0,308.0,412.50000000000006,434.50000000000006,302.5,289.3,385.00000000000006,418.00000000000006,286.0,269.5
Cabbage,380,266,400,276,355,249,375,260,330,231,350,240,150,100,120,6.0,7.0,6.5,"1-3,9-10",90,8,9,"Cabbage loopers,Aphids","Black rot,Clubroot","Onions,Beans",4,50.0,30.0,4,6,45,30,1,"Beans,Soybeans,Groundnuts","Tomatoes,Cabbage,Carrots",0,418.00000000000006,440.00000000000006,303.6,292.6,390.50000000000006,412.50000000000006,286.0,273.90000000000003,363.00000000000006,385.00000000000006,264.0,254.10000000000002
Carrots,400,280,420,290,375,263,395,275,350,245,380,260,100,80,90,6.0,7.0,6.5,"2-3,9-10",75,6,7,"Carrot fly,Aphids","Leaf blight,Root rot","Onions,Lettuce",5,30.0,18.0,6,8,30,8,1,"Beans,Soybeans,Groundnuts","Tomatoes,Cabbage,Carrots",0,440.00000000000006,462.00000000000006,319.0,308.0,412.50000000000006,434.50000000000006,302.5,289.3,385.00000000000006,418.00000000000006,286.0,269.5
Onions,350,245,370,255,325,228,345,240,300,210,320,220,80,60,70,6.0,7.0,6.5,"2-3,9-10",90,7,8,"Onion thrips,Onion maggot","Purple blotch,Downy mildew","Carrots,Tomatoes",6,25.0,15.0,6,8,30,10,1,"Beans,Soybeans,Groundnuts","Tomatoes,Cabbage,Carrots",0,385.00000000000006,407.00000000000006,280.5,269.5,357.50000000000006,379.50000000000006,264.0,250.8,330.0,352.0,242.00000000000003,231.00000000000003
Green Peppers,600,420,630,440,550,385,580,405,500,350,530,360,100,70,110,5.5,7.0,6.0,"2-3,9-10",80,8,8,"Aphids,Thrips","Bacterial spot,Powdery mildew","Onions,Carrots",5,15.0,10.0,6,8,60,45,1,"Beans,Soybeans,Groundnuts","Tomatoes,Cabbage,Carrots",0,660.0,693.0,484.00000000000006,462.00000000000006,605.0,638.0,445.50000000000006,423.50000000000006,550.0,583.0,396.00000000000006,385.00000000000006
Eggplant,450,315,480,330,425,298,445,310,400,280,430,290,90,60,100,5.5,7.0,6.0,"2-3,9-10",90,8,9,"Fruit flies,Flea beetles","Verticillium wilt,Phomopsis blight","Beans,Maize",5,35.0,20.0,6,8,60,60,1,"Beans,Soybeans,Groundnuts","Tomatoes,Cabbage,Carrots",0,495.00000000000006,528.0,363.00000000000006,346.5,467.50000000000006,489.50000000000006,341.0,327.8,440.00000000000006,473.00000000000006,319.0,308.0
Sunflower,600,420,630,440,550,385,580,405,500,350,530,360,60,40,50,6.0,7.5,6.5,2-3,100,6,7,"Head moth,Stem weevil","Downy mildew,White rust",None,7,2.0,1.2,6,8,75,30,3,"Beans,Soybeans,Groundnuts",Sunflower,0,660.0,693.0,484.00000000000006,462.00000000000006,605.0,638.0,445.50000000000006,423.50000000000006,550.0,583.0,396.00000000000006,385.00000000000006
Palm Oil,1200,840,1250,860,1150,805,1200,835,1100,770,1150,800,120,60,140,5.0,6.5,5.5,3-4,1095,7,8,"Red palm weevil,Rhinoceros beetle","Ganoderma butt rot,Fusarium wilt",None,6,4.0,2.5,6,8,900,900,20,"Beans,Soybeans,Groundnuts",Palm Oil,0,1320.0,1375.0,946.0000000000001,924.0000000000001,1265.0,1320.0,918.5000000000001,885.5000000000001,1210.0,1265.0,880.0000000000001,847.0000000000001
Macadamia,900,630,950,650,850,595,900,620,800,560,850,580,70,30,60,5.5,6.5,6.0,3-4,540,5,6,"Nut borers,Aphids","Powdery mildew,Phytophthora",None,7,1.5,0.8,5,7,800,800,3,"Beans,Soybeans,Groundnuts",Macadamia,0,990.0000000000001,1045.0,715.0000000000001,693.0,935.0000000000001,990.0000000000001,682.0,654.5,880.0000000000001,935.0000000000001,638.0,616.0
Ginger,800,560,830,580,750,525,780,545,700,490,730,510,50,30,70,5.5,6.5,6.0,3-4,240,6,7,"Root grubs,Thrips","Bacterial wilt,Fusarium yellows","Beans,Maize",6,25.0,15.0,5,7,30,15,2,"Beans,Soybeans,Groundnuts",Ginger,0,880.0000000000001,913.0000000000001,638.0,616.0,825.0000000000001,858.0000000000001,599.5,577.5,770.0000000000001,803.0000000000001,561.0,539.0
Chili Peppers,500,350,530,360,475,333,495,345,450,315,480,330,80,50,80,5.5,7.0,6.0,"2-3,9-10",90,7,8,"Aphids,Thrips","Bacterial spot,Anthracnose","Onions,Carrots",6,10.0,6.0,6,8,45,45,1,"Beans,Soybeans,Groundnuts",Chili Peppers,0,550.0,583.0,396.00000000000006,385.00000000000006,522.5,544.5,379.50000000000006,366.3,495.00000000000006,528.0,363.00000000000006,346.5
Vanilla,900,630,950,650,850,595,900,620,800,560,850,580,60,30,50,6.0,7.0,6.5,3-4,270,8,9,"Mealybugs,Scales","Black rot,Fusarium",None,4,0.2,0.1,5,6,250,250,1,"Beans,Soybeans,Groundnuts",Vanilla,0,990.0000000000001,1045.0,715.0000000000001,693.0,935.0000000000001,990.0000000000001,682.0,654.5,880.0000000000001,935.0000000000001,638.0,616.0
